source	sample	sex	population	population_name	population_desc	superpopulation	superpopulation_name	latitude	longitude
egta	Ishk1	male	ISH	Ishkasim	Ishkasim, Pamir_Ishkashim, Tajikistan	CAS	Central Asian and Siberian Ancestry	71.7	37
egta	Ishk2	male	ISH	Ishkasim	Ishkasim, Pamir_Ishkashim, Tajikistan	CAS	Central Asian and Siberian Ancestry	71.7	37
egta	Kaz1	male	KZK	Kazakh	Kazakhs, Cent-West, Kazakhstan	CAS	Central Asian and Siberian Ancestry	61.5	47.5
egta	Kaz2	male	KZK	Kazakh	Kazakhs, Tien-Shan, Kazakhstan	CAS	Central Asian and Siberian Ancestry	77	43.6
egta	Kaz3	male	KZK	Kazakh	Kazakhs, Kazakhstan	CAS	Central Asian and Siberian Ancestry	71.5	51.1
egta	Kyrgz1	male	KYR	Kyrgyz	Kyrgyz, Ton(g), Kyrgyzstan	CAS	Central Asian and Siberian Ancestry	77	42.2
egta	Kyrgz2	male	KYR	Kyrgyz	Kyrgyz, Naryn_Province, Kyrgyzstan	CAS	Central Asian and Siberian Ancestry	75.9	41.5
egta	Kyrgz3	male	KYR	Kyrgyz	Kyrgyz, Naryn_Province, Kyrgyzstan	CAS	Central Asian and Siberian Ancestry	75.9	41.5
egta	Kyrgz4	male	KYR	Kyrgyz	Kyrgyz, Naryn_Province, Kyrgyzstan	CAS	Central Asian and Siberian Ancestry	75.9	41.5
egta	KyrgzTJ1	male	KYT	Kyrgyz Tdj	Kyrgyz_Tdj, Alichur, Tajikistan	CAS	Central Asian and Siberian Ancestry	73.3	37.8
egta	KyrgzTJ2	male	KYT	Kyrgyz Tdj	Kyrgyz_Tdj, Murgab, Tajikistan	CAS	Central Asian and Siberian Ancestry	74	38.2
egta	KyrgzTJ3	male	KYT	Kyrgyz Tdj	Kyrgyz_Tdj, Murgab, Tajikistan	CAS	Central Asian and Siberian Ancestry	74	38.2
egta	RVnch1	male	RSV	Rushan Vanch	Rushan-Vanch, Pamir_Rushan-Vanch, Tajikistan	CAS	Central Asian and Siberian Ancestry	71.7	38.5
egta	RVnch2	male	RSV	Rushan Vanch	Rushan-Vanch, Pamir_Rushan-Vanch, Tajikistan	CAS	Central Asian and Siberian Ancestry	71.7	38.5
egta	Shugn1	male	SHG	Shugnan	Shugnan, Pamir_Shugnan, Tajikistan	CAS	Central Asian and Siberian Ancestry	72.4	37.5
egta	Tajik1	male	TJK	Tajik	Tajiks, lowland, Tajikistan	CAS	Central Asian and Siberian Ancestry	68.9	38.4
egta	TrkUzb1	male	TKM	Turkmen	Turkmens, Shumanay, Uzbekistan	CAS	Central Asian and Siberian Ancestry	58.9	42.6
egta	TrkUzb2	male	TKM	Turkmen	Turkmens, Shumanay, Uzbekistan	CAS	Central Asian and Siberian Ancestry	58.9	42.6
egta	TrkUzb3	male	TKM	Turkmen	Turkmens, Xo'jayli, Uzbekistan	CAS	Central Asian and Siberian Ancestry	59.4	42.4
egta	Uigr4	female	UYG	Uygur	Uygurs, Kazakhstan	CAS	Central Asian and Siberian Ancestry	79.5	43.5
egta	Uzbk1	female	UZB	Uzbek	Uzbek, Uzbekistan	CAS	Central Asian and Siberian Ancestry	68.2	40.3
egta	Uzbk2	female	UZB	Uzbek	Uzbek, Uzbekistan	CAS	Central Asian and Siberian Ancestry	68.2	40.3
egta	Uzbk3	male	UZB	Uzbek	Uzbek, Papsky_district, Uzbekistan	CAS	Central Asian and Siberian Ancestry	70.9	41
egta	Yaghn1	female	YGH	Yaghnobi	Yaghnobi, Pamir_Yaghnobi, Tajikistan	CAS	Central Asian and Siberian Ancestry	67.6	39.5
egta	Alban1	male	ALB	Albanian	Albanians, Albania	EUR	European Ancestry	19.8	41.3
egta	Alban2	male	ALB	Albanian	Albanians, Albania	EUR	European Ancestry	19.8	41.3
egta	Alban3	male	ALB	Albanian	Albanians, Albania	EUR	European Ancestry	19.8	41.3
egta	Bashk2	female	BSH	Bashkir	Bashkirs, Bashkortostan_Muradymovo, Russia	EUR	European Ancestry	57.5	53.3
egta	Bashk3	male	BSH	Bashkir	Bashkirs, Bashkortostan_Akyar, Russia	EUR	European Ancestry	58.2	51.9
egta	Bashk4	male	BSH	Bashkir	Bashkirs, Bashkortostan_Ufa, Russia	EUR	European Ancestry	56.1	55.3
egta	Bashk6	female	BSH	Bashkir	Bashkirs, Ibragimovo, Russia	EUR	European Ancestry	56.6	54.2
egta	Bashk10	female	BSH	Bashkir	Bashkirs, Kildigulovo, Russia	EUR	European Ancestry	57.9	53.3
egta	BelaR1	male	BLR	Belarusian	Belarusians, Kobryn_Brest, Belarus	EUR	European Ancestry	24.4	52.2
egta	BelaR2	male	BLR	Belarusian	Belarusians, Zhytkavichy_Homel, Belarus	EUR	European Ancestry	27.9	52.2
egta	BelaR3	male	BLR	Belarusian	Belarusians, Kobryn_Brest, Belarus	EUR	European Ancestry	24.4	52.2
egta	BelaR4	female	BLR	Belarusian	Belarusians, Glybokae_Vitebsk, Belarus	EUR	European Ancestry	27.7	55.1
egta	Chuv2	female	CHV	Chuvashe	Chuvashes, Bashkortostan_Novye-Karmaskaly, Russia	EUR	European Ancestry	54.7	53.7
egta	Chuv3	female	CHV	Chuvashe	Chuvashes, Bashkortostan_Vasilevka, Russia	EUR	European Ancestry	56.5	53.6
