source	sample	population	superpopulation
1000g	HG02895	GWD	AFR
1000g	HG03074	MSL	AFR
1000g	HG01384	CLM	AMR
1000g	HG02922	ESN	AFR
1000g	HG03079	MSL	AFR
1000g	HG01389	CLM	AMR
1000g	HG02972	ESN	AFR
1000g	HG03081	MSL	AFR
1000g	HG01391	CLM	AMR
1000g	HG02977	ESN	AFR
1000g	HG03086	MSL	AFR
1000g	HG01396	PUR	AMR
1000g	HG02984	GWD	AFR
1000g	HG02944	ESN	AFR
1000g	HG03007	BEB	SAS
1000g	HG02968	ESN	AFR
1000g	HG03019	PJL	SAS
1000g	HG02970	ESN	AFR
1000g	HG01269	CLM	AMR
1000g	HG03021	PJL	SAS
1000g	HG01271	CLM	AMR
1000g	HG03026	GWD	AFR
1000g	HG03461	MSL	AFR
1000g	HG01276	CLM	AMR
1000g	HG03033	GWD	AFR
1000g	HG01303	PUR	AMR
1000g	HG03040	GWD	AFR
1000g	HG03473	MSL	AFR
1000g	HG01308	PUR	AMR
1000g	HG03045	GWD	AFR
1000g	HG03478	MSL	AFR
1000g	HG03052	MSL	AFR
1000g	HG03480	MSL	AFR
1000g	HG03057	MSL	AFR
1000g	HG03485	MSL	AFR
1000g	HG02737	PJL	SAS
1000g	HG03240	GWD	AFR
1000g	HG01485	CLM	AMR
1000g	HG02756	GWD	AFR
1000g	HG03269	ESN	AFR
1000g	HG01492	CLM	AMR
1000g	HG02763	GWD	AFR
1000g	HG03271	ESN	AFR
1000g	HG01497	CLM	AMR
1000g	HG02768	GWD	AFR
1000g	HG03295	ESN	AFR
1000g	HG01500	IBS	EUR
1000g	HG02770	GWD	AFR
1000g	HG03303	ESN	AFR
1000g	HG01618	IBS	EUR
1000g	HG02775	PJL	SAS
1000g	HG03308	ESN	AFR
1000g	HG01620	IBS	EUR
1000g	HG02787	PJL	SAS
1000g	HG03310	ESN	AFR
1000g	HG01625	IBS	EUR
1000g	HG02794	PJL	SAS
1000g	HG01632	IBS	EUR
1000g	HG02799	GWD	AFR
1000g	HG03163	ESN	AFR
1000g	HG01668	IBS	EUR
1000g	HG02807	GWD	AFR
1000g	HG03168	ESN	AFR
1000g	HG01670	IBS	EUR
1000g	HG02814	GWD	AFR
1000g	HG03170	ESN	AFR
1000g	HG01675	IBS	EUR
1000g	HG03064	MSL	AFR
1000g	HG03175	ESN	AFR
1000g	HG01505	IBS	EUR
1000g	HG03069	MSL	AFR
1000g	HG01512	IBS	EUR
1000g	HG03199	ESN	AFR
1000g	HG01517	IBS	EUR
1000g	HG03088	MSL	AFR
1000g	HG03202	ESN	AFR
1000g	HG01524	IBS	EUR
1000g	HG03095	MSL	AFR
1000g	HG03238	PJL	SAS
1000g	HG01815	CDX	EAS
1000g	HG03492	PJL	SAS
1000g	HG01841	KHV	EAS
1000g	HG02941	ESN	AFR
1000g	HG03517	ESN	AFR
1000g	HG01846	KHV	EAS
1000g	HG02946	ESN	AFR
1000g	HG03428	MSL	AFR
1000g	HG01853	KHV	EAS
1000g	HG02953	ESN	AFR
1000g	HG03442	MSL	AFR
1000g	HG01858	KHV	EAS
1000g	HG02965	ESN	AFR
1000g	HG03454	MSL	AFR
1000g	HG01860	KHV	EAS
1000g	HG02698	PJL	SAS
1000g	HG02701	PJL	SAS
1000g	HG01771	IBS	EUR
1000g	HG02725	PJL	SAS
1000g	HG03372	ESN	AFR
1000g	HG01776	IBS	EUR
1000g	HG03103	ESN	AFR
1000g	HG01783	IBS	EUR
1000g	HG03108	ESN	AFR
1000g	HG03391	MSL	AFR
1000g	HG01790	GBR	EUR
1000g	HG03110	ESN	AFR
1000g	HG01947	PEL	AMR
1000g	HG03115	ESN	AFR
1000g	HG03644	STU	SAS
1000g	HG01954	PEL	AMR
1000g	HG03242	GWD	AFR
1000g	HG03649	PJL	SAS
1000g	HG01959	ACB	AFR
1000g	HG03247	GWD	AFR
1000g	HG03651	PJL	SAS
1000g	HG01961	PEL	AMR
1000g	HG03259	GWD	AFR
1000g	HG01682	IBS	EUR
1000g	HG03663	PJL	SAS
1000g	HG01687	IBS	EUR
1000g	HG03280	ESN	AFR
1000g	HG03668	PJL	SAS
1000g	HG01694	IBS	EUR
1000g	HG03196	ESN	AFR
1000g	HG03719	ITU	SAS
1000g	HG01699	IBS	EUR
1000g	HG03209	MSL	AFR
1000g	HG03721	ITU	SAS
1000g	HG01702	IBS	EUR
1000g	HG03228	PJL	SAS
1000g	HG03733	STU	SAS
1000g	HG01865	KHV	EAS
1000g	HG03230	PJL	SAS
1000g	HG03738	STU	SAS
1000g	HG01872	KHV	EAS
1000g	HG03235	PJL	SAS
1000g	HG03740	STU	SAS
1000g	HG01884	ACB	AFR
1000g	HG03432	MSL	AFR
1000g	HG03745	STU	SAS
1000g	HG01923	PEL	AMR
1000g	HG03437	MSL	AFR
1000g	HG03606	BEB	SAS
1000g	HG01928	PEL	AMR
1000g	HG03449	MSL	AFR
1000g	HG03618	PJL	SAS
1000g	HG01935	PEL	AMR
1000g	HG03451	MSL	AFR
1000g	HG03620	PJL	SAS
1000g	HG01942	PEL	AMR
1000g	HG03456	MSL	AFR
1000g	HG03625	PJL	SAS
1000g	HG01889	ACB	AFR
1000g	HG03343	ESN	AFR
1000g	HG03699	PJL	SAS
1000g	HG01891	ACB	AFR
1000g	HG03350	ESN	AFR
1000g	HG03702	PJL	SAS
1000g	HG01896	ACB	AFR
1000g	HG03707	PJL	SAS
1000g	HG01916	ACB	AFR
1000g	HG03367	ESN	AFR
1000g	HG03714	ITU	SAS
1000g	HG01707	IBS	EUR
1000g	HG03374	ESN	AFR
1000g	HG03752	STU	SAS
1000g	HG01757	IBS	EUR
1000g	HG03122	ESN	AFR
1000g	HG03757	STU	SAS
1000g	HG03127	ESN	AFR
1000g	HG01795	CDX	EAS
1000g	HG03134	ESN	AFR
1000g	HG03771	ITU	SAS
1000g	HG01808	CDX	EAS
1000g	HG03139	ESN	AFR
1000g	HG01810	CDX	EAS
1000g	HG03788	ITU	SAS
1000g	HG01992	PEL	AMR
1000g	HG03297	ESN	AFR
1000g	HG03790	ITU	SAS
1000g	HG01997	PEL	AMR
1000g	HG03300	ESN	AFR
1000g	HG03795	BEB	SAS
1000g	HG02003	PEL	AMR
1000g	HG03305	ESN	AFR
1000g	HG03579	MSL	AFR
1000g	HG02008	PEL	AMR
1000g	HG03312	ESN	AFR
1000g	HG03593	BEB	SAS
1000g	HG02010	ACB	AFR
1000g	HG03160	ESN	AFR
1000g	HG03598	BEB	SAS
1000g	HG02015	KHV	EAS
1000g	HG03172	ESN	AFR
1000g	HG03548	MSL	AFR
1000g	HG02077	KHV	EAS
1000g	HG03189	ESN	AFR
1000g	HG03567	MSL	AFR
1000g	HG02084	KHV	EAS
1000g	HG03191	ESN	AFR
1000g	HG03574	MSL	AFR
1000g	HG02089	PEL	AMR
1000g	HG03682	STU	SAS
1000g	HG02091	PEL	AMR
1000g	HG03687	STU	SAS
1000g	HG02104	PEL	AMR
1000g	HG03694	STU	SAS
1000g	HG02111	ACB	AFR
1000g	HG03401	MSL	AFR
1000g	HG03973	ITU	SAS
1000g	HG02116	KHV	EAS
