project	sample	alias	accession	center	platform	instrument	library	layout	description	fastq_se_md5	fastq_se_ftp	fastq_r1_md5	fastq_r2_md5	fastq_r1_ftp	fastq_r2_ftp	fastq_se	fastq_r1	fastq_r2
PRJEB26349	Hazaras.3	Hazaras.3	ERR2575659	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_Hazaras.3	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	df841723755b6d39ebbf5020778453b2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2575659/ERR2575659.fastq.gz	b263116bc95888c9324f47b4edd526bb	d46b8a8d9286b080c1b08b55984e54e8	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2575659/ERR2575659_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2575659/ERR2575659_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575659_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575659_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575659_r2.fastq.gz
PRJEB26349	IrtyshBarabinskTatars.1	IrtyshBarabinskTatars.1	ERR2575660	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_IrtyshBarabinskTatars.1	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	5f3b0ea33e284bc4ea39ab846331fdb2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2575660/ERR2575660.fastq.gz	97c05dd08596f208e24900b86c188e23	22b4508be26ab67a1e3a269f19ec7d33	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2575660/ERR2575660_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2575660/ERR2575660_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575660_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575660_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575660_r2.fastq.gz
PRJEB26349	IrtyshBarabinskTatars.2	IrtyshBarabinskTatars.2	ERR2575661	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_IrtyshBarabinskTatars.2	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	f4ca61262b374e8ceabf866ab42a1996	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2575661/ERR2575661.fastq.gz	7c0f013b2402008dc0e638173091a3b8	6363a27a6765731149e0782668b57cdc	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2575661/ERR2575661_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2575661/ERR2575661_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575661_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575661_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575661_r2.fastq.gz
PRJEB26349	Kalmyks.1	Kalmyks.1	ERR2575662	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_Kalmyks.1	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	72851399f5cc55010fda7593cfee1e07	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2575662/ERR2575662.fastq.gz	8b5d2ee66f02ec311b9ed94bbd51c29c	3e585854c1df78f89e6851dc94a9aa54	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2575662/ERR2575662_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2575662/ERR2575662_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575662_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575662_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575662_r2.fastq.gz
PRJEB26349	Kalmyks.2	Kalmyks.2	ERR2575663	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_Kalmyks.2	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	feb8ab8855f5c972102fa924967bfab6	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2575663/ERR2575663.fastq.gz	413cff04471118a42a5a124f76e3a57e	669df716f78dc0b1dee438a790cebb35	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2575663/ERR2575663_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2575663/ERR2575663_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575663_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575663_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575663_r2.fastq.gz
PRJEB26349	Karakalpaks.1	Karakalpaks.1	ERR2575664	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_Karakalpaks.1	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	0412c9db79a8898cbd591e8c4d73691f	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2575664/ERR2575664.fastq.gz	7f4bee925803692c7416327324278d47	ef82a487c509b8e23137e83f9253b198	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2575664/ERR2575664_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2575664/ERR2575664_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575664_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575664_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575664_r2.fastq.gz
PRJEB26349	Karakalpaks.2	Karakalpaks.2	ERR2575665	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_Karakalpaks.2	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ee43db6c8ffeb7228317df3a57df190d	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2575665/ERR2575665.fastq.gz	3b2a7553cd71c980124c498cf76ff87f	91049ef4fa8ec21fe95dc602a2bf65c0	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2575665/ERR2575665_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2575665/ERR2575665_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575665_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575665_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575665_r2.fastq.gz
PRJEB26349	Karakalpaks.3	Karakalpaks.3	ERR2575666	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_Karakalpaks.3	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	4b93bab2632f458d86c851d54afbcb2c	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2575666/ERR2575666.fastq.gz	d31c2ab9fa108ce919aa38f90a5c72f3	9dc6e822e1d04a9f20b895968362f6e1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2575666/ERR2575666_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2575666/ERR2575666_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575666_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575666_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575666_r2.fastq.gz
PRJEB26349	Kazakhs.2	Kazakhs.2	ERR2575667	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_Kazakhs.2	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	1de1c4dc9110437744af933c97494aaf	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2575667/ERR2575667.fastq.gz	d3a189988d73ace07c9aa9ba4468991f	ab4c70a18d82c6382aa3513431adde29	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2575667/ERR2575667_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2575667/ERR2575667_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575667_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575667_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575667_r2.fastq.gz
PRJEB26349	Kazakhs.3	Kazakhs.3	ERR2575668	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_Kazakhs.3	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	789cd645849fd2c70784fb95d4730982	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/008/ERR2575668/ERR2575668.fastq.gz	6a47bdd77d773ba66eee95205fed85e7	398992125a2979b856df0f279000ff29	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/008/ERR2575668/ERR2575668_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/008/ERR2575668/ERR2575668_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575668_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575668_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575668_r2.fastq.gz
PRJEB26349	Kazkahs.1	Kazkahs.1	ERR2575669	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_Kazkahs.1	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	9767e69e8920f4a29036044987df0103	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2575669/ERR2575669.fastq.gz	bdfc43fba2bd830b0ffa2bb4014a5781	9b711a7fba74c61943d691d6502b069b	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2575669/ERR2575669_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2575669/ERR2575669_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575669_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575669_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575669_r2.fastq.gz
PRJEB26349	Kyrgyz.1	Kyrgyz.1	ERR2575670	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_Kyrgyz.1	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	69a9968b54ff58a99bc0fe15ab88ddbf	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2575670/ERR2575670.fastq.gz	ce3e053ac22e4f54d61023339804e720	43424ce0f55f4cb389f7827a72b4c914	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2575670/ERR2575670_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2575670/ERR2575670_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575670_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575670_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575670_r2.fastq.gz
PRJEB26349	Kyrgyz.2	Kyrgyz.2	ERR2575671	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_Kyrgyz.2	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	29ccf809d6602021b9a357bbe4450cb5	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2575671/ERR2575671.fastq.gz	ecc6647e4012ca97864d1fa9b2c7f39d	412e53dd7357ca070a85755f177fc06e	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2575671/ERR2575671_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2575671/ERR2575671_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575671_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575671_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575671_r2.fastq.gz
PRJEB26349	Tajiks.1	Tajiks.1	ERR2575672	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_Tajiks.1	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	e443bfe9ba1b58be3e6b4f0b0a404c82	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2575672/ERR2575672.fastq.gz	68ce19a81ccf2780d8d3d32aa57891b8	72a39aaeab23390b845e905a9eb24ac8	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2575672/ERR2575672_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2575672/ERR2575672_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575672_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575672_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575672_r2.fastq.gz
PRJEB26349	Tajiks.2	Tajiks.2	ERR2575673	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_Tajiks.2	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	369644c0d943a030256fc2405d23e39f	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2575673/ERR2575673.fastq.gz	7bdaf80f6fe7560880b7419190368a11	4147a374afc7d922f20dc3d62113240d	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2575673/ERR2575673_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2575673/ERR2575673_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575673_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575673_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575673_r2.fastq.gz
PRJEB26349	Tajiks.3	Tajiks.3	ERR2575674	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_Tajiks.3	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	678f224dab6bcdbc291751b7664a2d54	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2575674/ERR2575674.fastq.gz	01cf081fdd4dcbc21bebed7ae181b015	70850d930da2e9d52e1e028e001631a5	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2575674/ERR2575674_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2575674/ERR2575674_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575674_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575674_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575674_r2.fastq.gz
PRJEB26349	Teleuts.1	Teleuts.1	ERR2575675	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_Teleuts.1	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	7e50bd40cf6c44bb53815334f5f94f12	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2575675/ERR2575675.fastq.gz	47bc715d0ac9f162ade1491b3cecbc1b	0bd42ce81b1951ca4c2d25fb9a8157da	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2575675/ERR2575675_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2575675/ERR2575675_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575675_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575675_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575675_r2.fastq.gz
PRJEB26349	Teleuts.2	Teleuts.2	ERR2575676	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_Teleuts.2	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	231f1b22a1ef8c876a7758a01524da93	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2575676/ERR2575676.fastq.gz	cd7399e8198537757eb0b23b8afea235	90c5b0ab8a4c18e69d1884cc9a41b3be	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2575676/ERR2575676_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2575676/ERR2575676_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575676_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575676_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575676_r2.fastq.gz
PRJEB26349	TomskTatars.1	TomskTatars.1	ERR2575677	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_TomskTatars.1	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	d19f0613b8b0f8f28562cc413d0edb29	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2575677/ERR2575677.fastq.gz	333e6ceeb8193c728ea17e68d3d83aca	ee1be22da3ce6124e25f2a2d21827a84	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2575677/ERR2575677_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2575677/ERR2575677_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575677_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575677_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575677_r2.fastq.gz
PRJEB26349	TomskTatars.2	TomskTatars.2	ERR2575678	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_TomskTatars.2	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	a0038dad1381b9b34e9a5bcdc89e343b	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/008/ERR2575678/ERR2575678.fastq.gz	18c30b20f43ca6dc6a249d973aba5b30	cb6b19c7ced6cc28c6e0717c8b74e021	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/008/ERR2575678/ERR2575678_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/008/ERR2575678/ERR2575678_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575678_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575678_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575678_r2.fastq.gz
PRJEB26349	Turkmens.1	Turkmens.1	ERR2575679	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_Turkmens.1	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	505b7b6fa5a6b6f5e35924017202be4d	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2575679/ERR2575679.fastq.gz	6f7f9e74e9927b5b92eaf00aabbaaaab	cc7b6e5f6bff00b31f137083fca5484b	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2575679/ERR2575679_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2575679/ERR2575679_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575679_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575679_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575679_r2.fastq.gz
PRJEB26349	Turkmens.2	Turkmens.2	ERR2575680	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_Turkmens.2	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	f03d1504a69728f76d5ae59a66469ec8	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2575680/ERR2575680.fastq.gz	2d6a6611fd996aa15e3adfd93a8eee37	43680e2dbd224c9acc5531bf5262a4f5	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2575680/ERR2575680_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2575680/ERR2575680_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575680_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575680_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575680_r2.fastq.gz
PRJEB26349	Uyghurs.1	Uyghurs.1	ERR2575681	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_Uyghurs.1	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	86b4c88c4390be1857226fe9d2ebc852	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2575681/ERR2575681.fastq.gz	66c5350509410fec2dba1033c52c5edf	3e94bbe8afa525c99a1e9883253f43af	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2575681/ERR2575681_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2575681/ERR2575681_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575681_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575681_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575681_r2.fastq.gz
PRJEB26349	Uyghurs.2	Uyghurs.2	ERR2575682	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_Uyghurs.2	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	d23ea5c7b2824d3f70f825d882fef671	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2575682/ERR2575682.fastq.gz	bd4bf49511feea48ad2dd483d179d822	70232701dd6d34288afaf57f6357e580	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2575682/ERR2575682_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2575682/ERR2575682_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575682_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575682_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575682_r2.fastq.gz
PRJEB26349	Uyghurs.3	Uyghurs.3	ERR2575683	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_Uyghurs.3	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	238d1f62887bea31c93934fc3542e5d4	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2575683/ERR2575683.fastq.gz	3390a20e77b449633fb4d9cf52bf25cd	09b1670dfb1a555d019a7d0841254b11	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2575683/ERR2575683_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2575683/ERR2575683_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575683_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575683_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575683_r2.fastq.gz
PRJEB26349	Uzbeks.1	Uzbeks.1	ERR2575684	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_Uzbeks.1	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	a22d82de7887e9eec18c43c98056bef9	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2575684/ERR2575684.fastq.gz	b2983ada95c35f62ccae3b58e9abecd1	5fcd4498c9c156017e323b72beeba2f7	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2575684/ERR2575684_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2575684/ERR2575684_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575684_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575684_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575684_r2.fastq.gz
PRJEB26349	Uzbeks.2	Uzbeks.2	ERR2575685	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_Uzbeks.2	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	d065123d6bdcac5d2fcb739adb0ea811	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2575685/ERR2575685.fastq.gz	b145be7380b4e8929b154f3d7254e1b0	cb767bfc312f637d5ffebc18c79f7119	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2575685/ERR2575685_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2575685/ERR2575685_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575685_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575685_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575685_r2.fastq.gz
PRJEB26349	Uzbeks.3	Uzbeks.3	ERR2575686	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	lib1_Uzbeks.3	PAIRED	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	1e00c0e99bd3509da04024dd2eea32a0	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2575686/ERR2575686.fastq.gz	5a8aeaf2b91eebfd04f99902a371fe31	3e3dd59a0ebbe5ce0453355dd471f9d4	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2575686/ERR2575686_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2575686/ERR2575686_2.fastq.gz	data/source/PRJEB26349/fastq/ERR2575686_se.fastq.gz	data/source/PRJEB26349/fastq/ERR2575686_r1.fastq.gz	data/source/PRJEB26349/fastq/ERR2575686_r2.fastq.gz
