source	sample	population	superpopulation
ggvp	SC_GMMAN5482268	GWD	AFR
ggvp	SC_GMWOF5428713	GWW	AFR
ggvp	SC_GMMAN5482232	GWD	AFR
ggvp	SC_GMMAN5482252	GWD	AFR
ggvp	SC_GMMAN5482256	GWD	AFR
ggvp	SC_GMMAN5482221	GWD	AFR
ggvp	SC_GMMAN5482193	GWD	AFR
ggvp	SC_GMMAN5482199	GWD	AFR
ggvp	SC_GMMAN5482201	GWD	AFR
ggvp	SC_GMMAN5482207	GWD	AFR
ggvp	SC_GMMAN5482244	GWD	AFR
ggvp	SC_GMMAN5482163	GWD	AFR
ggvp	SC_GMMAN5482181	GWD	AFR
ggvp	SC_GMMAN5482187	GWD	AFR
ggvp	SC_GMMAN5482213	GWD	AFR
ggvp	SC_GMMAN5482219	GWD	AFR
ggvp	SC_GMWOF5428814	GWW	AFR
ggvp	SC_GMWOF5428838	GWW	AFR
ggvp	SC_GMWOF5428871	GWW	AFR
ggvp	SC_GMMAN5482168	GWD	AFR
ggvp	SC_GMMAN5482240	GWD	AFR
ggvp	SC_GMWOF5428821	GWW	AFR
ggvp	SC_GMWOF5428869	GWW	AFR
ggvp	SC_GMMAN5482308	GWD	AFR
ggvp	SC_GMJOL5309890	GWJ	AFR
ggvp	SC_GMJOL5309922	GWJ	AFR
ggvp	SC_GMJOL5309939	GWJ	AFR
ggvp	SC_GMFUL5306418	GWF	AFR
ggvp	SC_GMFUL5306413	GWF	AFR
ggvp	SC_GMFUL5309722	GWF	AFR
ggvp	SC_GMFUL5306374	GWF	AFR
ggvp	SC_GMFUL5306398	GWF	AFR
ggvp	SC_GMFUL5306406	GWF	AFR
ggvp	SC_GMFUL5306343	GWF	AFR
ggvp	SC_GMFUL5306367	GWF	AFR
ggvp	SC_GMFUL5306355	GWF	AFR
ggvp	SC_GMFUL5309708	GWF	AFR
ggvp	SC_GMFUL5306379	GWF	AFR
ggvp	SC_GMFUL5309741	GWF	AFR
ggvp	SC_GMFUL5306432	GWF	AFR
ggvp	SC_GMWOF5428724	GWW	AFR
ggvp	SC_GMWOF5428748	GWW	AFR
ggvp	SC_GMWOF5428736	GWW	AFR
ggvp	SC_GMWOF5428705	GWW	AFR
ggvp	SC_GMWOF5428729	GWW	AFR
ggvp	SC_GMWOF5428786	GWW	AFR
ggvp	SC_GMWOF5428818	GWW	AFR
ggvp	SC_GMJOL5309852	GWJ	AFR
ggvp	SC_GMJOL5309876	GWJ	AFR
ggvp	SC_GMJOL5309821	GWJ	AFR
ggvp	SC_GMWOF5428762	GWW	AFR
ggvp	SC_GMWOF5428731	GWW	AFR
ggvp	SC_GMWOF5428755	GWW	AFR
ggvp	SC_GMJOL5309965	GWJ	AFR
ggvp	SC_GMJOL5309934	GWJ	AFR
ggvp	SC_GMJOL5309958	GWJ	AFR
ggvp	SC_GMJOL5309895	GWJ	AFR
ggvp	SC_GMJOL5309903	GWJ	AFR
ggvp	SC_GMJOL5309927	GWJ	AFR
ggvp	SC_GMFUL5306348	GWF	AFR
ggvp	SC_GMFUL5309789	GWF	AFR
ggvp	SC_GMFUL5309710	GWF	AFR
ggvp	SC_GMFUL5309703	GWF	AFR
ggvp	SC_GMJOL5309953	GWJ	AFR
ggvp	SC_GMJOL5309977	GWJ	AFR
ggvp	SC_GMJOL5309819	GWJ	AFR
ggvp	SC_GMJOL5309883	GWJ	AFR
ggvp	SC_GMWOF5428820	GWW	AFR
ggvp	SC_GMWOF5428813	GWW	AFR
ggvp	SC_GMWOF5428798	GWW	AFR
ggvp	SC_GMWOF5428806	GWW	AFR
ggvp	SC_GMFUL5306420	GWF	AFR
ggvp	SC_GMJOL5309972	GWJ	AFR
ggvp	SC_GMJOL5309941	GWJ	AFR
ggvp	SC_GMJOL5309898	GWJ	AFR
ggvp	SC_GMJOL5309960	GWJ	AFR
ggvp	SC_GMJOL5309906	GWJ	AFR
ggvp	SC_GMJOL5309984	GWJ	AFR
ggvp	SC_GMFUL5306346	GWF	AFR
ggvp	SC_GMWOF5428851	GWW	AFR
ggvp	SC_GMWOF5428875	GWW	AFR
ggvp	SC_GMMAN5482309	GWD	AFR
ggvp	SC_GMWOF5428849	GWW	AFR
ggvp	SC_GMWOF5428882	GWW	AFR
ggvp	SC_GMFUL5306391	GWF	AFR
ggvp	SC_GMMAN5482234	GWD	AFR
ggvp	SC_GMFUL5306423	GWF	AFR
ggvp	SC_GMMAN5482171	GWD	AFR
ggvp	SC_GMFUL5306360	GWF	AFR
ggvp	SC_GMMAN5482241	GWD	AFR
ggvp	SC_GMFUL5309763	GWF	AFR
ggvp	SC_GMMAN5482195	GWD	AFR
ggvp	SC_GMFUL5306339	GWF	AFR
