source	sample	sex	population	population_name	long_ID	pop_ID	annotation	superpopulation	superpopulation_name
appg	APPG7555900	Female	UAE	United Arab Emirates 	longranger222_wgs_28927_APPG7555900_GRCh38_gatk	UAE40	EmiratiC	MEA	Middle Eastern Ancestry
appg	APPG7555901	Female	UAE	United Arab Emirates 	longranger222_wgs_28927_APPG7555901_GRCh38_gatk	UAE41	EmiratiB	MEA	Middle Eastern Ancestry
appg	APPG7555902	Male	UAE	United Arab Emirates 	longranger222_wgs_28927_APPG7555902_GRCh38_gatk	UAE42	EmiratiB	MEA	Middle Eastern Ancestry
appg	APPG7555903	Female	UAE	United Arab Emirates 	longranger222_wgs_APPG7555903_GRCh38_gatk	UAE43	EmiratiD	MEA	Middle Eastern Ancestry
appg	APPG7555904	Female	UAE	United Arab Emirates 	longranger222_wgs_APPG7555904_GRCh38_gatk	UAE44	EmiratiD	MEA	Middle Eastern Ancestry
appg	APPG7555905	Female	UAE	United Arab Emirates 	longranger222_wgs_APPG7555905_GRCh38_gatk	UAE45	EmiratiD	MEA	Middle Eastern Ancestry
appg	APPG7555906	Female	UAE	United Arab Emirates 	longranger222_wgs_APPG7555906_GRCh38_gatk	UAE46	EmiratiD	MEA	Middle Eastern Ancestry
appg	APPG7555907	Female	UAE	United Arab Emirates 	longranger222_wgs_APPG7555907_GRCh38_gatk	UAE47	EmiratiC	MEA	Middle Eastern Ancestry
appg	APPG7555908	Female	UAE	United Arab Emirates 	longranger222_wgs_27493_APPG7555908_GRCh38_gatk	UAE48	EmiratiC	MEA	Middle Eastern Ancestry
appg	APPG7555909	Female	UAE	United Arab Emirates 	longranger222_wgs_27493_APPG7555909_GRCh38_gatk	UAE50	EmiratiA	MEA	Middle Eastern Ancestry
appg	APPG7555910	Female	UAE	United Arab Emirates 	longranger222_wgs_27493_APPG7555910_GRCh38_gatk	UAE51	EmiratiB	MEA	Middle Eastern Ancestry
appg	APPG7555911	Female	UAE	United Arab Emirates 	longranger222_wgs_27453_APPG7555911_GRCh38_gatk	UAE52	EmiratiA	MEA	Middle Eastern Ancestry
appg	APPG7555912	Female	UAE	United Arab Emirates 	longranger222_wgs_27453_APPG7555912_GRCh38_gatk	UAE53	EmiratiB	MEA	Middle Eastern Ancestry
appg	APPG7555913	Female	UAE	United Arab Emirates 	longranger222_wgs_27453_APPG7555913_GRCh38_gatk	UAE54	EmiratiB	MEA	Middle Eastern Ancestry
appg	APPG7555914	Female	UAE	United Arab Emirates 	longranger222_wgs_27453_APPG7555914_GRCh38_gatk	UAE55	EmiratiD	MEA	Middle Eastern Ancestry
appg	APPG7555915	Male	UAE	United Arab Emirates 	longranger222_wgs_27453_APPG7555915_GRCh38_gatk	UAE56	EmiratiB	MEA	Middle Eastern Ancestry
appg	APPG7555916	Male	IRQ	Iraq	longranger222_wgs_27461_APPG7555916_GRCh38_gatk	IRAQ1	Arab	MEA	Middle Eastern Ancestry
appg	APPG7555918	Female	IRQ	Iraq	longranger222_wgs_27461_APPG7555918_GRCh38_gatk	IRAQ3	Arab	MEA	Middle Eastern Ancestry
appg	APPG7555919	Male	IRQ	Iraq	longranger222_wgs_27632_APPG7555919_GRCh38_gatk	IRAQ4	Arab	MEA	Middle Eastern Ancestry
appg	APPG7555920	Male	IRQ	Iraq	longranger222_wgs_27632_APPG7555920_GRCh38_gatk	IRAQ5	Kurd	MEA	Middle Eastern Ancestry
appg	APPG7555921	Female	IRQ	Iraq	longranger222_wgs_27632_APPG7555921_GRCh38_gatk	IRAQ6	Arab	MEA	Middle Eastern Ancestry
appg	APPG7555922	Female	IRQ	Iraq	longranger222_wgs_27632_APPG7555922_GRCh38_gatk	IRAQ7	Arab	MEA	Middle Eastern Ancestry
appg	APPG7555923	Female	IRQ	Iraq	longranger222_wgs_27632_APPG7555923_GRCh38_gatk	IRAQ8	Arab	MEA	Middle Eastern Ancestry
appg	APPG7555924	Male	IRQ	Iraq	longranger222_wgs_27632_APPG7555924_GRCh38_gatk	IRAQ9	Arab	MEA	Middle Eastern Ancestry
appg	APPG7555925	Female	IRQ	Iraq	longranger222_wgs_27632_APPG7555925_GRCh38_gatk	IRAQ10	Kurd	MEA	Middle Eastern Ancestry
appg	APPG7555926	Male	YEM	Yemen	longranger222_wgs_27632_APPG7555926_GRCh38_gatk	YEMEN1	Yemen	MEA	Middle Eastern Ancestry
appg	APPG7555927	Male	YEM	Yemen	longranger222_wgs_27426_APPG7555927_GRCh38_gatk	YEMEN2	Yemen	MEA	Middle Eastern Ancestry
