sample	vcf_ftp
APPG7555890	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555890.phased_variants.vcf.gz
APPG7555891	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555891.phased_variants.vcf.gz
APPG7555892	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555892.phased_variants.vcf.gz
APPG7555893	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555893.phased_variants.vcf.gz
APPG7555894	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555894.phased_variants.vcf.gz
APPG7555895	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555895.phased_variants.vcf.gz
APPG7555896	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555896.phased_variants.vcf.gz
APPG7555898	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555898.phased_variants.vcf.gz
APPG7555903	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555903.phased_variants.vcf.gz
APPG7555904	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555904.phased_variants.vcf.gz
APPG7555905	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555905.phased_variants.vcf.gz
APPG7555906	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555906.phased_variants.vcf.gz
APPG7555907	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555907.phased_variants.vcf.gz
APPG7555908	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555908.phased_variants.vcf.gz
APPG7555909	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555909.phased_variants.vcf.gz
APPG7555910	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555910.phased_variants.vcf.gz
APPG7555911	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555911.phased_variants.vcf.gz
APPG7555912	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555912.phased_variants.vcf.gz
APPG7555913	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555913.phased_variants.vcf.gz
APPG7555914	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555914.phased_variants.vcf.gz
APPG7555915	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555915.phased_variants.vcf.gz
APPG7555916	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555916.phased_variants.vcf.gz
APPG7555918	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555918.phased_variants.vcf.gz
APPG7555919	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555919.phased_variants.vcf.gz
APPG7555920	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555920.phased_variants.vcf.gz
APPG7555921	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555921.phased_variants.vcf.gz
APPG7555922	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555922.phased_variants.vcf.gz
APPG7555923	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555923.phased_variants.vcf.gz
APPG7555924	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555924.phased_variants.vcf.gz
APPG7555925	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555925.phased_variants.vcf.gz
APPG7555926	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555926.phased_variants.vcf.gz
APPG7555927	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555927.phased_variants.vcf.gz
APPG7555928	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555928.phased_variants.vcf.gz
APPG7555929	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555929.phased_variants.vcf.gz
APPG7555930	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555930.phased_variants.vcf.gz
APPG7555931	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555931.phased_variants.vcf.gz
APPG7555932	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555932.phased_variants.vcf.gz
APPG7555933	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/APPG7555933.phased_variants.vcf.gz
