source	sample	population	population_name	superpopulation	superpopulation_name
appg	APPG7555947	SYR	Syria	MEA	Middle Eastern Ancestry
appg	APPG7555948	SYR	Syria	MEA	Middle Eastern Ancestry
appg	APPG7555949	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
appg	APPG7555950	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
appg	APPG7555951	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
appg	APPG7555952	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
appg	APPG7555953	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
appg	APPG7555954	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
appg	APPG7555955	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
appg	APPG7555956	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
appg	APPG7555957	SAU	Saudi Arabia	MEA	Middle Eastern Ancestry
appg	APPG7555958	OMN	Oman	MEA	Middle Eastern Ancestry
appg	APPG7555959	OMN	Oman	MEA	Middle Eastern Ancestry
appg	APPG7555960	OMN	Oman	MEA	Middle Eastern Ancestry
appg	APPG7555961	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7623331	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7623332	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7623333	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7623334	IRQ	Iraq	MEA	Middle Eastern Ancestry
appg	APPG7623335	IRQ	Iraq	MEA	Middle Eastern Ancestry
appg	APPG7623336	JOR	Jordan	MEA	Middle Eastern Ancestry
appg	APPG7623337	SYR	Syria	MEA	Middle Eastern Ancestry
appg	APPG7623338	SYR	Syria	MEA	Middle Eastern Ancestry
appg	APPG7623339	SYR	Syria	MEA	Middle Eastern Ancestry
appg	APPG7623340	SYR	Syria	MEA	Middle Eastern Ancestry
appg	APPG7623341	SYR	Syria	MEA	Middle Eastern Ancestry
appg	APPG7623342	SYR	Syria	MEA	Middle Eastern Ancestry
appg	APPG7623343	SYR	Syria	MEA	Middle Eastern Ancestry
appg	APPG7623344	SYR	Syria	MEA	Middle Eastern Ancestry
appg	APPG7623345	SYR	Syria	MEA	Middle Eastern Ancestry
appg	APPG7623346	JOR	Jordan	MEA	Middle Eastern Ancestry
appg	APPG7623347	JOR	Jordan	MEA	Middle Eastern Ancestry
appg	APPG7623348	YEM	Yemen	MEA	Middle Eastern Ancestry
