source	sample	population	population_name	superpopulation	superpopulation_name
ggvp	SC_GMFUL5309711	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5309716	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5309717	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5309718	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5309719	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5309722	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5309725	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5309730	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5309733	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5309735	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5309738	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5309741	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5309747	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5309748	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5309755	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5309756	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5309763	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5309764	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5309773	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5309781	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5309789	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMJOL5309796	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309797	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309804	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309805	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309812	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309813	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309819	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309820	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309821	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309827	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309828	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309829	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309835	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309836	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309837	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309843	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309844	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309851	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309852	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309859	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309860	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309867	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309868	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309875	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309876	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309883	GWJ	Gambian Jola	AFR	African Ancestry
ggvp	SC_GMJOL5309884	GWJ	Gambian Jola	AFR	African Ancestry
